LAPPS,Type,Description,GATE,Type,Description
,,,Mention,Annotation,Mentions of concepts in a knowledge base for semanically linked annotation tasks
,,,Mention.features.inst,URI,URI of the instance to which the mention links
,,,Mention.features.class,URI,URI of the (main) ontology class to which the instance belongs
"Comments: 
- ...",,,,,
COREFERENCE LAYER,,,,,
Coreference,Annotation,Used to mark references to other mentions of the same entity or instance.,,,
Coreference.properties.mentions,ID[],"A list of identifiers. Each identifier points to an object of type Annotation, or a subtype thereof.",,,
Coreference.properties.representative,ID,An identifier that points to the representative item in the coreference chain.,,,
,,,,,
Markable,Span,Annotation type used if the coreferenced item is not already wrapped in a suitable annotation type that can be referenced.,,,
"Comments: 
- Coreference in GATE is modelled as a feature of the annotations being co-referred, and as a document-level map of coreference chains",,,,,
CONSTITUENCY LAYER,,,,,
PhraseStructure,Annotation,A container for phrase structure information.,SyntaxTreeNode,Annotation,"GATE models syntax trees as nodes, representing constituents by containment"
PhraseStructure.metadata.categorySet,String or URI,The URI for the category set.,,,
PhraseStructure.properties.constituents,ID[] (Set),The set of IDs for the top-level Constituents in the paarse tree. (cf. https://github.com/lapps/vocabulary-pages/issues/15),,,
,,,,,
Constituent,Span,,SyntaxTreeNode,,
Constituent.properties.label,String or URI,,,,
Constituent.properties.parent,ID,,SyntaxTreeNode.features.consists,,
Constituent.properties.children,ID[],,,,
"Comments: 
- ...",,,,,
DEPENDENCY LAYER,,,,,
DependencyStructure,Annotation,,,,
DependencyStructure.metadata.dependencySet,String or URI,,,,
DependencyStructure.properties.dependencyType,String of URI,,,,
DependencyStructure.properties.dependencies,ID[] (Set),,,,
,,,,,
Dependency,Annotation,,Dependency,Annotation,"GATE's wrapper for the Stanford Parser represents dependencies in two ways, as annotations that link to the dependent and governing Tokens by ID, and as a complex feature value on the Token itself giving its outgoing dependency arcs"
Dependency.properties.governor,ID,,Dependency.features.args[0],List of Integer,"""args"" is a list with the governer token ID first and the dependent second"
Dependency.properties.dependent,ID,,Dependency.features.args[1],,
Dependency.properties.label,String or URI,,Dependency.features.kind,String,Dependency type
"Comments:
- The alternative representation of dependencies is as a feature ""dependencies"" on each governing Token annotation, whose value is a list of objects that encode the dependency label and the ID of the dependent token.",,,,,
